word,valence,foundation
compassion,virtue,harm
empathy,virtue,harm
kindness,virtue,harm
caring,virtue,harm
generosity,virtue,harm
benevolence,virtue,harm
altruism,virtue,harm
compassionate,virtue,harm
nurture,virtue,harm
gentleness,virtue,harm
nurturance,virtue,harm
sympathy,virtue,harm
nurturing,virtue,harm
motherly,virtue,harm
love,virtue,harm
beneficence,virtue,harm
empathize,virtue,harm
helpfulness,virtue,harm
loving,virtue,harm
pity,virtue,harm
mercy,virtue,harm
nurturer,virtue,harm
compassionately,virtue,harm
nurturers,virtue,harm
caringly,virtue,harm
empathising,virtue,harm
merciful,virtue,harm
empathizing,virtue,harm
nurtures,virtue,harm
warmhearted,virtue,harm
empathizers,virtue,harm
protectiveness,virtue,harm
nurtured,virtue,harm
benevolent,virtue,harm
mothering,virtue,harm
cared,virtue,harm
healing,virtue,harm
empathises,virtue,harm
humane,virtue,harm
comfort,virtue,harm
pitied,virtue,harm
loved,virtue,harm
altruist,virtue,harm
cares,virtue,harm
pitying,virtue,harm
comforted,virtue,harm
hug,virtue,harm
comforting,virtue,harm
consoling,virtue,harm
empathizes,virtue,harm
sympathize,virtue,harm
care,virtue,harm
caregiver,virtue,harm
empathised,virtue,harm
hugs,virtue,harm
heal,virtue,harm
generous,virtue,harm
condolences,virtue,harm
mothered,virtue,harm
charitable,virtue,harm
generously,virtue,harm
pities,virtue,harm
condolence,virtue,harm
help,virtue,harm
consolingly,virtue,harm
solace,virtue,harm
mother,virtue,harm
healer,virtue,harm
hospitality,virtue,harm
charity,virtue,harm
empathized,virtue,harm
healers,virtue,harm
pityingly,virtue,harm
mothers,virtue,harm
child,virtue,harm
lovingly,virtue,harm
parenting,virtue,harm
rescuing,virtue,harm
rescuer,virtue,harm
loves,virtue,harm
consoled,virtue,harm
clothe,virtue,harm
sympathizing,virtue,harm
helping,virtue,harm
shared,virtue,harm
childhood,virtue,harm
mommy,virtue,harm
vulnerability,virtue,harm
helpers,virtue,harm
lover,virtue,harm
hospitable,virtue,harm
sharer,virtue,harm
feeding,virtue,harm
nursed,virtue,harm
helper,virtue,harm
safeness,virtue,harm
nurses,virtue,harm
protector,virtue,harm
motherhood,virtue,harm
alleviation,virtue,harm
